sample_label,Fe_ugg
UPLAND_HY-1,828.98
UPLAND_HY-10,474.9
UPLAND_HY-11,527.45
UPLAND_HY-12,877.5
UPLAND_HY-13,696.86
UPLAND_HY-14,917.55
UPLAND_HY-15,587.3
UPLAND_HY-16,446.84
UPLAND_HY-17,373.9
UPLAND_HY-18,476.33
UPLAND_HY-19,806.3
UPLAND_HY-2,756.5
UPLAND_HY-20,655.2
UPLAND_HY-21,526.84
UPLAND_HY-22,674.9
UPLAND_HY-23,520.61
UPLAND_HY-24,1168.04
UPLAND_HY-25,1227.5
UPLAND_HY-26,1402.65
UPLAND_HY-27,1297.84
UPLAND_HY-28,1483.33
UPLAND_HY-29,1022.2
UPLAND_HY-3,740.3
UPLAND_HY-30,1006.47
UPLAND_HY-4,794.9
UPLAND_HY-5,765.9
UPLAND_HY-6,1043.9
UPLAND_HY-7,588.1
UPLAND_HY-8,869.4
UPLAND_HY-9,447.55